Приложение 3. Часть 1;;;;;;;;;;;;;;;;;;;;;;;Приложение 3. Часть 2;;;;;;;;;;;;;;;;;;
Сводная таблица результатов лабораторных;;;;;;;;;;;;;;;;;;;;;;;исследований физико-механических свойств грунтов;;;;;;;;;;;;;;;;;;
№ образца;№ г/в;ИГЭ №;Интервал отбора образца, м (по глубине);;Гранулометрический состав,% (диаметр частиц в мм);;;;;;;;;;;Плотность, г/см^3;;;;Природная влажность, д.е.;Влажность на границах, д.е.;;Коэф. фильтрации, м/сутки;;;Содержание карбонатов, %;Коэффициент выветрелости, д.е.;Коэффициент истираемости, д.е.;Степень растворимости в воде, г/л;Степень засолености (кол-во воднорастворимых солей), %;Относительное содержание органического вещества, д.е.;Степень разложения (торфы), %;Степень зольности (торфы), д.е.;Водопоглощение, д.е.;Предел прочности на одноосное сжатие, МПа;;;Угол естественного откоса, ^о;;Номенклатурный вид грунта (ГОСТ 25100);Примечание
;;;;;Галька (щебень);Гравий (дресва);;Песчаные;;;;;Пылева-тые;;Глинистые;Плотность грунта;Плотность частиц грунта;Плотность грунта в макс. рыхл. сост;Плотность грунта в макс. плот. сост.;;Раскатывания;Текучести;Грунта естественного сложения;Рыхлого грунта;Уплотненного грунта;;;;;;;;;;Природной влажности;В воздушно-сухом состоянии;В водонасыщенном состоянии;В воздушно-сухом состоянии;Под водой;;
;;;;;>10;43595,00;43501,00;43467,00;1-0.5;0.5-0.25;0.25-0.1;0.1-0.05;0.05-0.01;0.01-0.005;<0.005;;;;;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;Текст;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;1,00;Текст;Текст
1,00;2,00;3,00;4,00;5,00;6,00;7,00;8,00;9,00;10,00;11,00;12,00;13,00;14,00;15,00;16,00;17,00;18,00;19,00;20,00;21,00;22,00;23,00;24,00;25,00;26,00;27,00;28,00;29,00;30,00;31,00;32,00;33,00;34,00;35,00;36,00;37,00;38,00;39,00;40,00;41,00;42,00
59377,00;1,00;2,00;0,80;1,00;-;7,00;-;-;-;-;-;-;-;-;-;1,89;2,74;-;-;0,23;0,22;0,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Глина легкая полутвердая;
59379,00;1,00;4,00;4,80;5,00;-;5,00;-;-;-;-;-;-;-;-;-;2,12;2,72;-;-;0,13;0,14;0,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Суглинок тяжелый твердый;
59380,00;1,00;6,00;6,80;7,00;0,00;6,00;0,00;0,00;1,70;41,70;53,80;(;(;(;2,80;-;2,66;1,52;1,71;0,04;-;-;-;13,24;7,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок мелкий однородный;
59383,00;1,00;7,00;12,80;13,00;0,00;5,00;0,00;0,00;0,00;0,50;18,10;(;(;(;81,40;1,86;2,67;1,33;1,54;0,25;-;-;-;0,94;0,35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый средней плотности неоднородный  насыщенный водой;
59385,00;1,00;7,00;16,80;17,00;0,00;6,00;0,20;0,10;0,10;1,30;25,30;(;(;(;73,00;-;2,67;1,23;1,46;0,29;-;-;-;0,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
59387,00;1,00;7,00;20,80;21,00;0,00;5,00;0,70;0,90;2,00;16,20;55,00;(;(;(;25,20;-;2,67;-;-;0,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Песок пылеватый неоднородный;
